operator_name,total_versions,latest_version,openshift_versions,last_update,has_ci_yaml,has_makefile,error
ccm-node-agent-operator,1,v0.0.2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.8,v4.9",2022-04-13T17:50:46,True,False,
ccnfs-operator,5,7.25.10,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-05-10T01:32:17,True,False,
cert-manager-operator,0,,,2021-09-28T16:10:20,True,False,
cfm-operator,3,2.10.0-b135,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-05-05T19:43:32,True,False,
ch-escalateai-operator-certified,0,,,2021-09-28T16:10:20,True,False,
cic-operator-with-crds,0,,,2021-09-28T16:10:20,True,False,
cilium,54,1.15.1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2024-02-20T20:27:53,True,False,
cilium-enterprise,95,1.16.12,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.9",2025-07-16T10:35:45,True,False,
citrix-adc-istio-ingress-gateway-operator,0,,,2021-09-28T16:10:20,True,False,
citrix-cpx-istio-sidecar-injector-operator,0,,,2021-09-28T16:10:20,True,False,
citrix-cpx-with-ingress-controller-operator,5,1.33.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2023-06-01T07:12:28,True,False,
citrix-ingress-controller-operator,7,1.33.4,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2023-06-01T07:07:20,True,False,
citrix-multi-cluster-ingress-controller-operator,0,,,2023-05-09T05:13:00,True,False,
cloud-native-postgresql,90,1.26.0-rc3,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.6,v4.7,v4.8,v4.9",2025-06-06T16:33:08,True,True,
cloudbees-ci,0,,,2021-09-28T16:10:20,True,False,
cloudera-streams-messaging-kubernetes-operator,3,1.4.0-b199,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-07-14T18:47:21,True,False,
cloudhedge,0,,,2021-09-28T16:10:20,True,False,
cloudnative-pg,14,1.26.0-rc3,"v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19",2025-05-23T17:49:57,True,True,
cnfv-operator,1,v3,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2022-07-30T03:52:30,True,False,
cnireleasetesting,1,0.0.1,"v4.10,v4.11,v4.7,v4.8,v4.9",2022-08-03T12:52:22,True,False,
cnvrg,24,v4.3.39,"v4.10,v4.11,v4.6,v4.7,v4.8,v4.9",2022-09-23T09:11:53,True,False,
cockroachdb-certified,15,v2.18.1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.8,v4.9",2025-04-03T17:26:08,True,False,
cockroachdb-test-certified,0,,,2021-09-28T16:10:20,True,False,
confluent-for-kubernetes,47,3.0.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.3,v4.4,v4.5,v4.6,v4.7,v4.8,v4.9",2025-06-19T19:19:33,True,False,
conjur-follower-operator,19,2.6.1,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-06-24T18:35:11,True,False,
conjur-operator-bundle,0,,,2021-09-28T16:10:20,True,False,
contrail-k8s-deployer,2,v23.1.0,"v4.10,v4.11,v4.12,v4.8,v4.9",2023-04-07T22:01:38,True,False,
coralogix-operator,2,1.0.2,"v4.10,v4.6,v4.7,v4.8,v4.9",2022-08-10T22:58:59,True,False,
coralogix-operator-certified,0,,,2021-09-28T16:10:20,True,False,
coroot-operator,4,1.1.5,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-01-31T13:15:33,True,False,
